type,workerid,mood_rating
mood1,0,0.74
mood2,0,0.75
mood1,1,0.5
mood2,1,0.52
mood1,2,0.59
mood2,2,0.63
mood1,3,0.66
mood2,3,0.7
mood1,4,0.95
mood2,4,0.81
mood1,5,0.61
mood2,5,0.37
mood1,6,0.43
mood2,6,0.59
mood1,7,0.75
mood1,8,0.88
mood2,8,0.89
mood1,9,0.65
mood2,9,0.7
mood1,10,0.93
mood2,10,0.81
mood1,11,0.49
mood2,11,0.49
mood1,12,0.72
mood2,12,0.75
mood1,13,0.45
mood2,13,0.5
mood1,14,0.63
mood2,14,0.57
mood1,15,0.84
mood2,15,0.46
mood1,16,0.76
mood2,16,0.87
mood1,17,0.62
mood2,17,0.57
mood1,18,0.72
mood2,18,0.64
mood1,19,0.84
mood2,19,0.59
mood1,20,0.88
mood2,20,0.79
mood1,21,0.69
mood2,21,0.74
mood1,22,0.81
mood2,22,0.64
mood1,23,0.63
mood2,23,0.65
mood1,24,0.83
mood2,24,0.66
mood1,25,0.51
mood2,25,0.54
mood1,26,0.94
mood2,26,0.86
mood1,27,0.71
mood2,27,0.68
mood1,28,0.47
mood2,28,0.61
mood1,29,0.42
mood2,29,0.45
mood1,30,0.53
mood2,30,0.87
mood1,31,0.69
mood2,31,0.78
mood1,32,0.86
mood2,32,0.83
mood1,33,0.76
mood2,33,0.66
mood1,34,0.59
mood2,34,0.81
mood1,35,0.49
mood2,35,0.5
mood1,36,0.77
mood2,36,0.62
mood1,37,0.98
mood2,37,0.99
mood1,38,0.89
mood2,38,0.8
mood1,39,0.88
mood2,39,0.88
mood1,40,0.49
mood2,40,0.7
mood1,41,0.78
mood2,41,0.66
mood1,42,1
mood2,42,0.78
mood1,43,0.61
mood2,43,0.6
mood1,44,0.82
mood2,44,0.77
mood1,45,0.86
mood2,45,0.39
mood1,46,0.83
mood2,46,0.78
mood1,47,0.78
mood2,47,0.77
mood1,48,0.85
mood2,48,0.8
mood1,49,0.9
mood2,49,0.69
mood1,50,0.8
mood2,50,0.79
mood1,51,0.88
mood2,51,0.91
mood1,52,0.51
mood2,52,0.5
mood1,53,0.36
mood2,53,0.34
mood1,54,0.71
mood2,54,0.76
mood1,55,0.74
mood2,55,0.88
mood1,56,0.91
mood2,56,0.91
mood1,57,0.67
mood2,57,0.68
mood1,58,0.83
mood2,58,0.76
mood1,59,0.81
mood2,59,0.95
mood1,60,0.7
mood2,60,0.82
mood1,61,0.46
mood2,61,0.5
mood1,62,0.93
mood2,62,0.97
mood1,63,0.26
mood2,63,0.35
mood1,64,0.97
mood2,64,0.95
mood1,65,0.54
mood2,65,0.49
mood1,66,0.76
mood2,66,0.77
mood1,67,0.73
mood2,67,0.67
mood1,68,0.58
mood2,68,0.49
mood1,69,0.77
mood1,70,1
mood2,70,1
mood1,71,0.81
mood2,71,0.51
mood1,72,0.84
mood2,72,0.84
mood1,73,0.66
mood2,73,0.8
mood1,74,0.73
mood2,74,0.64
mood1,75,0.61
mood2,75,0.64
mood1,76,0.29
mood2,76,0.41
mood1,77,0.92
mood2,77,0.92
mood1,78,0.93
mood2,78,0.83
mood1,79,0.49
mood2,79,0.37
